DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
274,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/342,15/409200,Victoria Mansions and Setting,342,529,Victoria Mansions and Setting and Victoria Mansions,195,NULL
275,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3679,15/409200,Jubilee Clock Tower and Setting,3679,530,Jubilee Clock Tower and Setting and Jubliee Clock Tower,196,NULL
276,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/4975,15/409200,"Former Dwellings and Setting, Santa Barbara",4975,532,"Former Dwellings and Setting, Santa Barbara and Dwelling 'Santa Barbara'",154,NULL
277,Current,High Significance,Not Listed,Unknown,NULL,15/409200,College House Principal's Lodge and Setting,NULL,534,College House Principal's Lodge and Setting and Setting,770,Ilam
278,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Fendalton Open Air School Classroom and Setting,NULL,535,Former Fendalton Open Air School Classroom and Setting and Open Air Classroom,16,Ilam
285,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3658,15/409200,Christchurch Boys' High School and Setting,3658,547,Christchurch Boys' High School and Setting and Arts Centre,174,NULL
286,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Girls' High School/School of Art Block and Setting,NULL,548,Girls' High School/School of Art Block and Setting and Arts Centre,141,NULL
287,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Biology and Observatory Block and Setting,NULL,549,Biology and Observatory Block and Setting and Arts Centre,159,NULL
288,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Mechanical Laboratory, School of Engineering, and Setting",NULL,550,"Mechanical Laboratory, School of Engineering, and Setting and Arts Centre",157,NULL
289,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Classics Building and Setting,NULL,551,Classics Building and Setting and Arts Centre,144,NULL
290,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Hydraulic Laboratory, School of Engineering, and Setting",NULL,553,"Hydraulic Laboratory, School of Engineering, and Setting and Arts Centre",164,NULL
291,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Electrical Engineering Laboratory, School of Engineering, and Setting",NULL,554,"Electrical Engineering Laboratory, School of Engineering, and Setting and Arts Centre",162,NULL
298,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Registry and Setting,NULL,562,Registry and Setting and Arts Centre,186,NULL
299,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Men's Common Room and Setting,NULL,564,Men's Common Room and Setting and Arts Centre,161,NULL
300,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Christchurch Boys' High School Gymnasium and Setting,NULL,565,Christchurch Boys' High School Gymnasium and Setting and Arts Centre,172,NULL
301,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,566,Former Dwelling and Setting and Dwelling,148,NULL
302,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1891,15/409200,Dwelling and Setting,1891,567,Dwelling and Setting and Dwelling,160,NULL
303,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1892,15/409200,Former Dwelling and Setting,1892,568,Former Dwelling and Setting and Dweling,165,NULL
311,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/306,15/409200,Former Trinity Congregational Church and Setting,306,580,Former Trinity Congregational Church and Setting and Trinity Congregational Church,270,NULL
312,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/292,15/409200,Christchurch Club and Setting,292,584,Christchurch Club and Setting and Christchurch Club,284,NULL
313,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,585,Dwelling and Setting and Dwelling,302,NULL
314,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1833,15/409200,Worcester Street Bridge and Setting,1833,586,Worcester Street Bridge and Setting and Avon River Corridor,218,NULL
315,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/5382,15/409200,Former Linwood Town Board Offices and Setting,5382,587,Former Linwood Town Board Offices and Setting and Former Linwood Library,327,Linwood
316,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Huntley",NULL,589,"Dwelling and Setting, Huntley and Huntley",15,Upper Riccarton
317,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Ferrymead House",NULL,591,"Dwelling and Setting, Ferrymead House and Ferrymead House",357,Heathcote
318,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Fifield",NULL,593,"Dwelling and Setting, Fifield and Fifefield",336,Opawa
325,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Barbadoes Street Cemetery and Setting,NULL,603,Barbadoes Street Cemetery and Setting and Barbadoes Street Cemetery,652,NULL
326,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,606,Former Dwelling and Setting and Tiffany's,217,NULL
327,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/289,15/409200,Bridge of Remembrance and Setting,289,607,Bridge of Remembrance and Setting and Bridge of Remembrance,680,NULL
328,Current,Significant,Not Listed,Unknown,NULL,15/409200,Mill Island and Setting,NULL,608,Mill Island and Setting and Avon River Corridor,224,NULL
336,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3724,15/409200,"Dwellings and Setting, Maisonettes ",3724,620,"Dwellings and Setting, Maisonettes  and Setting",133,NULL
337,Current,Significant,Not Listed,Unknown,NULL,15/409200,Horse Watering Ramp and Setting,NULL,621,Horse Watering Ramp and Setting and Victoria Square,683,NULL
338,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,623,Dwelling and Setting and Springfield Manor,212,St Albans
339,Current,Significant,Not Listed,Unknown,NULL,15/409200,MED Substation,NULL,624,MED Substation,697,Linwood
340,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Woodford",NULL,626,"Dwelling and Setting, Woodford and Woodford",71,Papanui
341,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Addington Cemetery and Setting,NULL,627,Addington Cemetery and Setting and Setting,673,Addington
346,Current,Significant,Not Listed,Unknown,NULL,15/409200,Kingsford Smith Landing Site,NULL,632,Kingsford Smith Landing Site,722,Hornby
347,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Second World War Bunkers/ Cracroft Caverns,NULL,634,Second World War Bunkers/ Cracroft Caverns,674,Cashmere
348,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Bangor Street No. 3 Pumphouse and Setting,NULL,635,Bangor Street No. 3 Pumphouse and Setting and Avon River Corridor,311,NULL
349,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/45,15/409200,Canterbury Provincial Council Buildings Courtyard/Grounds ,45,638,Canterbury Provincial Council Buildings Courtyard/Grounds ,742,NULL
350,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling/Commercial Building and Setting,NULL,640,Dwelling/Commercial Building and Setting and Corner Shop,314,NULL
351,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling/Commercial Building and Setting,NULL,641,Dwelling/Commercial Building and Setting and Corner Shop,313,NULL
359,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1734,15/409200,Dwelling and Setting,1734,658,Dwelling and Setting and 153 Rue Jolie ,493,Akaroa
360,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1709,15/409200,"Dwelling and Setting, Glencarrig ",1709,659,"Dwelling and Setting, Glencarrig  and 7 Percy Street",520,Akaroa
361,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3052,15/409200,Dwelling and Setting,3052,661,Dwelling and Setting and 23 Bruce Terrace,521,Akaroa
362,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1712,15/409200,Former Dwelling/Hotel and Setting,1712,662,Former Dwelling/Hotel and Setting and 99 Beach Road,491,Akaroa
363,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,663,Dwelling and Setting and House (formerly Donnet),500,Akaroa
364,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1735,15/409200,Dwelling and Setting ,1735,664,Dwelling and Setting  and 115 Rue Jolie ,527,Akaroa
365,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1716,15/409200,Coronation Library and Setting,1716,665,Coronation Library and Setting and 103 Rue Jolie ,533,Akaroa
366,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1719,15/409200,Gaiety Hall and Setting,1719,666,Gaiety Hall and Setting and Gaiety Hall,532,Akaroa
375,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3087,15/409200,"Dwelling and Setting, Lochranza",3087,676,"Dwelling and Setting, Lochranza and 14 Godley Quay",367,Lyttelton
376,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/2014,15/409200,Dwelling and Setting,2014,677,Dwelling and Setting and 6 Godley Quay,368,Lyttelton
377,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/4392,15/409200,Millhouse and Setting,4392,679,Millhouse and Setting and Setting,550,Diamond Harbour
378,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5276,15/409200,Former Charteris Bay School and Setting,5276,680,Former Charteris Bay School and Setting and Setting,349,Diamond Harbour
379,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5285,15/409200,Stables and Setting,5285,682,Stables and Setting and Setting,353,Diamond Harbour
380,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/265,15/409200,Te Whare Karakia o Onuku and Setting,265,683,Te Whare Karakia o Onuku and Setting and Te Whare Karakia o Onuku (Onuku Church),478,Akaroa
381,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Paul's Church and Setting,NULL,684,St Paul's Church and Setting and St Paul's Church (Anglican),466,Port Levy
383,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5283,15/409200,"Dwelling and Setting, Annandale",5283,686,"Dwelling and Setting, Annandale and Dwelling (Annandale)",473,Pigeon Bay
384,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5274,15/409200,Knox Church and Setting,5274,688,Knox Church and Setting and 28 Wharf Road,469,Pigeon Bay
385,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5277,15/409200,"Store, Former Post Office, Dwelling and Setting",5277,689,"Store, Former Post Office, Dwelling and Setting and 1162 Okains Bay Road",625,Okains Bay
386,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1731,15/409200,Former Library and Setting,1731,690,Former Library and Setting and Library,621,Okains Bay
394,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5284,15/409200,"Farm Building and Setting, Annandale Woolshed",5284,698,"Farm Building and Setting, Annandale Woolshed and Woolshed (Annandale)",476,Pigeon Bay
396,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3343,15/409200,Akaroa Lighthouse and Setting,3343,701,Akaroa Lighthouse and Setting and Akaroa Lighthouse,479,Akaroa
397,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1733,15/409200,"Masonic Lodge Hall, The Phoenix Lodge and Setting",1733,703,"Masonic Lodge Hall, The Phoenix Lodge and Setting and 160 Rue Jolie ",484,Akaroa
398,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1741,15/409200,Dwelling and Setting,1741,704,Dwelling and Setting and 158 Rue Jolie ,486,Akaroa
399,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1727,15/409200,Dwelling and Setting,1727,705,Dwelling and Setting and 154 Rue Jolie ,488,Akaroa
400,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/9945,15/409200,Dwelling and Setting,9945,706,Dwelling and Setting and 147B Rue Jolie,498,Akaroa
401,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5447,15/409200,Dwelling and Setting,5447,707,Dwelling and Setting and 15 William Street,496,Akaroa
402,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,708,Dwelling and Setting and 14 Percy Street,506,Akaroa
403,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5336,15/409200,Dwelling and Setting,5336,709,Dwelling and Setting and 130 Rue Jolie ,512,Akaroa
404,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3345,15/409200,Dwelling and Setting,3345,710,Dwelling and Setting and 9 Bruce Terrace,501,Akaroa
405,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5333,15/409200,Former Shipping Office and Setting,5333,711,Former Shipping Office and Setting and 3 Church Street,510,Akaroa
413,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3048,15/409200,Former Sisters of Mercy Convent and Setting,3048,722,Former Sisters of Mercy Convent and Setting and 4 Rue Viard,588,Akaroa
414,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/266,15/409200,St Patrick's Church and Setting,266,723,St Patrick's Church and Setting and 25 Rue Lavaud ,582,Akaroa
415,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5295,15/409200,Dwelling and Setting,5295,724,Dwelling and Setting and 35 Rue Lavaud ,574,Akaroa
416,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5288,15/409200,"Trinity Church, Hall and Setting",5288,725,"Trinity Church, Hall and Setting and 39 Rue Lavaud ",571,Akaroa
417,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1717,15/409200,Former Customhouse and Setting,1717,726,Former Customhouse and Setting and 3 Rue Balguerie ,537,Akaroa
418,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5290,15/409200,Dwelling and Setting,5290,727,Dwelling and Setting and 59 Grehan Valley Road,611,Akaroa
419,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1710,15/409200,Bank of New Zealand Building and Setting,1710,728,Bank of New Zealand Building and Setting and 73 Rue Lavaud ,544,Akaroa
420,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5287,15/409200,Pharmacy and Setting,5287,729,Pharmacy and Setting and 58 Rue Lavaud ,550,Akaroa
430,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5340,15/409200,Dwelling and Setting,5340,745,Dwelling and Setting and 21 Rue Balguerie ,569,Akaroa
431,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1723,15/409200,Dwelling and Setting,1723,746,Dwelling and Setting and 23 Rue Balguerie,573,Akaroa
432,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/267,15/409200,St Peter's Church and Setting,267,747,St Peter's Church and Setting and St Peter's Church (Anglican),553,Akaroa
433,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1739,15/409200,Former Commercial Building and Setting,1739,748,Former Commercial Building and Setting and 14 Rue Balguerie,561,Akaroa
434,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1711,15/409200,Dwelling and Setting,1711,749,Dwelling and Setting and 18 Rue Balguerie ,568,Akaroa
435,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,750,Former Dwelling and Setting and Cottage (McCrostie Real Estate Office),562,Akaroa
436,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7155,15/409200,Former Madeira Hotel and Setting,7155,751,Former Madeira Hotel and Setting and Chez La Mer,558,Akaroa
437,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5289,15/409200,Former Power House and Setting,5289,752,Former Power House and Setting and 1 Rue Pompallier ,579,Akaroa
438,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7195,15/409200,Rue Jolie Bridge and Setting,7195,753,Rue Jolie Bridge and Setting and Rue Jolie Bridge,577,Akaroa
439,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, ",NULL,755,"Dwelling and Setting,  and 8 Rue Lavaud",591,Akaroa
448,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7370,15/409200,Dwelling and Setting,7370,766,Dwelling and Setting and Grubb Cottage,386,Lyttelton
449,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7533,15/409200,Former Warder's House and Setting,7533,767,Former Warder's House and Setting and 39 Oxford Street,419,Lyttelton
450,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7379,15/409200,"Dwelling and Setting, Dalcroy House",7379,768,"Dwelling and Setting, Dalcroy House and 16 Godley Quay",366,Lyttelton
451,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,769,Dwelling and Setting and 109A Rue Jolie ,530,Akaroa
452,Current,Significant,Not Listed,Unknown,NULL,15/409200,Little River Library and Setting,NULL,772,Little River Library and Setting and 4313 Christchurch Akaroa Road,463,Little River
453,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/4389,15/409200,Graving Dock and Setting ,4389,773,Graving Dock and Setting  and Lyttelton Graving Dock,364,Lyttelton
454,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1714,15/409200,"Rue Lavaud Bridge and Setting, Southern",1714,774,"Rue Lavaud Bridge and Setting, Southern and Southern Rue Lavaud Bridge",556,Akaroa
455,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5282,15/409200,"Dwelling and Setting, former Burnside",5282,776,"Dwelling and Setting, former Burnside and 239 Middle Road",472,Pigeon Bay
456,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7157,15/409200,"Dwelling and Setting, The Whare",7157,777,"Dwelling and Setting, The Whare and The Whare / Purau Station Homestead",455,Diamond Harbour
457,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/280,15/409200,"Dwelling and Setting, Purau ",280,778,"Dwelling and Setting, Purau  and The Whare / Purau Station Homestead",454,Diamond Harbour
466,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5337,15/409200,Former Presbyterian Church and Setting,5337,1014,Former Presbyterian Church and Setting and Bon Accord,557,Akaroa
467,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Town Hall and Setting,NULL,1016,Former Town Hall and Setting and 60 Rue Lavaud ,547,Akaroa
468,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Banks Peninsula War Memorial and Setting,NULL,1017,Banks Peninsula War Memorial and Setting and 84 Rue Lavaud ,538,Akaroa
469,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1018,Dwelling and Setting and 81 Rue Lavaud ,545,Akaroa
470,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1019,Dwelling and Setting and 11 Rue Balguerie ,560,Akaroa
471,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1020,Dwelling and Setting and 15 Rue Balguerie ,563,Akaroa
472,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1021,Dwelling and Setting and 12 Rue Balguerie ,559,Akaroa
473,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1022,Dwelling and Setting and 43 Rue Balguerie ,592,Akaroa
474,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting ,NULL,1024,Dwelling and Setting  and 44 Rue Balguerie ,598,Akaroa
475,Current,Significant,Not Listed,Unknown,NULL,15/409200,St Peter's Vicarage and Setting,NULL,1025,St Peter's Vicarage and Setting and 5 Julius Place,543,Akaroa
486,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1726,15/409200,Dwelling and Setting,1726,1038,Dwelling and Setting and Dwelling,483,Akaroa
487,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1039,Dwelling and Setting and 4 Percy Street,516,Akaroa
488,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1041,Dwelling and Setting and 20 Percy Street,515,Akaroa
489,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1042,Dwelling and Setting and 31 Aylmers Valley Road,507,Akaroa
490,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1049,Commercial Building and Setting and 14 London Street,408,Lyttelton
491,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1050,Commercial Building and Setting and 18 London Street,406,Lyttelton
492,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Kilwinning Lodge and Setting,NULL,1052,Former Kilwinning Lodge and Setting and 26 Canterbury Street,397,Lyttelton
493,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1055,Commercial Building and Setting and 47 London Street,389,Lyttelton
494,Current,Significant,Not Listed,Unknown,NULL,15/409200,Mitre Hotel and Setting,NULL,1060,Mitre Hotel and Setting and 40 Norwich Quay,387,Lyttelton
495,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former British Hotel and Setting,NULL,1070,Former British Hotel and Setting and 10 Oxford Street,414,Lyttelton
504,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1088,Dwelling and Setting and 22 St Davids Street,434,Lyttelton
505,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Court Queen of the Isles Foresters' Lodge Hall and Setting ,NULL,1090,Former Court Queen of the Isles Foresters' Lodge Hall and Setting  and 26 St Davids Street,435,Lyttelton
506,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1091,Dwelling and Setting and 28 St Davids,436,Lyttelton
507,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1092,Dwelling and Setting and Dwelling,437,Lyttelton
508,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1093,Dwelling and Setting and 34 St Davids Street,439,Lyttelton
509,Current,Significant,Not Listed,Unknown,NULL,15/409200,Signal Box and Setting,NULL,1094,Signal Box and Setting and Gladstone Quay,427,Lyttelton
510,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1095,Dwelling and Setting and 53 Oxford Street,428,Lyttelton
511,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1096,Dwelling and Setting and 51 Oxford Street,425,Lyttelton
512,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1098,Dwelling and Setting and Dwelling,424,Lyttelton
513,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,1102,Former Dwelling and Setting and 21 Exeter Street,412,Lyttelton
522,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1114,Dwelling and Setting and 38 Winchester Street,388,Lyttelton
523,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1115,Dwelling and Setting and 23 Winchester Street,395,Lyttelton
524,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1117,Dwelling and Setting and 13 Winchester Street,405,Lyttelton
525,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1118,Dwelling and Setting and 66 London Street,383,Lyttelton
526,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1119,Dwelling and Setting and 64 London Street,385,Lyttelton
527,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Boarding House and Setting,NULL,1120,Former Boarding House and Setting and Dwelling,379,Lyttelton
528,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1121,Dwelling and Setting and 30 Dublin Street,380,Lyttelton
529,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1122,Dwelling and Setting and 32 Dublin Street,381,Lyttelton
530,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1125,Dwelling and Setting and 2 Coleridge Terrace,377,Lyttelton
531,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1126,Dwelling and Setting and 3 Coleridge Terrace,376,Lyttelton
532,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1127,Dwelling and Setting and 6 Coleridge Terrace,374,Lyttelton
540,Current,Significant,Not Listed,Unknown,NULL,15/409200,Main Wharf and Setting,NULL,1137,Main Wharf and Setting and Main Akaroa Wharf,480,Akaroa
541,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1138,Commercial Building and Setting and Shop,519,Akaroa
542,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1139,Dwelling and Setting and 110 Rue Jolie ,525,Akaroa
543,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1140,Dwelling and Setting and 112 Rue Jolie ,522,Akaroa
544,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1141,Dwelling and Setting and 116 Rue Jolie ,523,Akaroa
545,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1142,Dwelling and Setting and Villa,505,Akaroa
546,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1143,Dwelling and Setting and 4 William Street,509,Akaroa
547,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1725,15/409200,Dwelling and Setting,1725,1144,Dwelling and Setting and 147A Rue Jolie,499,Akaroa
548,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1147,Dwelling and Setting and 24 Percy Street,518,Akaroa
549,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1148,Commercial Building and Setting and Fire and Ice Building Brown's Bakery,513,Akaroa
558,Current,Significant,Not Listed,Unknown,NULL,15/409200,Water Trough and Setting,NULL,1165,Water Trough and Setting and Setting,32,Motukarara
559,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1166,Dwelling and Setting and 12 Reserve Terrace,445,Lyttelton
560,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1167,Dwelling and Setting and 31 Sumner Road,443,Lyttelton
561,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1168,Dwelling and Setting and 29 Sumner Road,441,Lyttelton
562,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1169,Dwelling and Setting and 75 St Davids Street,442,Lyttelton
563,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1170,Dwelling and Setting and Curry Homestead,616,Akaroa
564,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1171,Dwelling and Setting and 5 Sawmill Road,589,Duvauchelle
565,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Former School Master's House ",NULL,1173,"Dwelling and Setting, Former School Master's House  and School Master's House",485,Duvauchelle
566,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Karaweko and Setting,NULL,1174,Karaweko and Setting and 389 Onuku Road,477,Akaroa
