DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
462,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1010,Commercial Building and Setting and 42 Rue Lavaud ,564,Akaroa
463,Current,Significant,Not Listed,Unknown,NULL,15/409200,Madeira Hotel and Setting,NULL,1011,Madeira Hotel and Setting and Madeira Hotel,554,Akaroa
464,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1012,Dwelling and Setting and 41 Rue Lavaud ,570,Akaroa
465,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,1013,Former Dwelling and Setting and 45 Rue Lavaud,565,Akaroa
476,Current,High Significance,Not Listed,Unknown,NULL,15/409200,French Landing Site and Setting ,NULL,1027,French Landing Site and Setting  and French landing site,531,Akaroa
477,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1028,Dwelling and Setting and 117 Rue Jolie ,526,Akaroa
478,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1029,Dwelling and Setting and 114 Rue Jolie ,524,Akaroa
479,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1030,Commercial Building and Setting and Commercial building,517,Akaroa
480,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,1031,Former Dwelling and Setting and 69 Beach Road,514,Akaroa
481,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and setting ,NULL,1032,Commercial Building and setting  and Commercial building,508,Akaroa
482,Current,Significant,Not Listed,Unknown,NULL,15/409200,Wharfinger's Office and Setting,NULL,1033,Wharfinger's Office and Setting and Main Akaroa Wharf,497,Akaroa
483,Current,Significant,Not Listed,Unknown,NULL,15/409200,Trypots and Setting,NULL,1035,Trypots and Setting and French landing site,529,Akaroa
