localtime, kiteid, temperature, humidity, pressure, luminosity, co2, sound
2016-07-26 19:41:08.291349,ch_kite_0004,8.0,79.2,97806.6,0.0,464.4,13360.8
2016-07-26 19:41:36.933363,ch_kite_0001,8.0,79.0,97673.6,14.0,412.2,13391.0
2016-07-26 19:41:52.733270,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:42:21.780861,ch_kite_0003,7.6,75.0,97864.4,0.0,447.8,13462.8
2016-07-26 19:42:50.837645,ch_kite_0004,8.0,79.0,97803.8,0.0,463.4,13312.0
2016-07-26 19:43:19.886611,ch_kite_0001,8.0,79.0,97673.6,14.0,413.2,13409.0
2016-07-26 19:43:35.177106,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:44:03.838612,ch_kite_0003,7.6,74.8,97858.4,0.0,456.4,13486.4
2016-07-26 19:44:31.703747,ch_kite_0004,8.0,79.0,97798.6,0.0,463.0,13158.4
2016-07-26 19:45:00.562744,ch_kite_0001,8.0,79.0,97664.8,14.0,432.2,13356.6
2016-07-26 19:45:16.560506,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:45:44.972649,ch_kite_0003,7.2,74.6,97856.4,0.0,453.8,13500.2
2016-07-26 19:46:12.574028,ch_kite_0004,8.0,78.8,97789.4,0.0,460.8,13331.2
2016-07-26 19:46:40.921808,ch_kite_0001,8.0,79.0,97656.0,14.0,400.6,13381.8
2016-07-26 19:46:55.708368,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:47:24.980101,ch_kite_0003,7.4,75.6,97849.2,0.0,453.6,13505.0
2016-07-26 19:47:53.488689,ch_kite_0004,8.0,79.0,97779.4,0.0,465.2,13369.2
2016-07-26 19:48:25.317450,ch_kite_0001,8.0,79.0,97656.8,14.0,399.4,13383.6
2016-07-26 19:48:40.445263,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:49:10.665878,ch_kite_0003,7.6,75.4,97844.0,0.0,448.0,13504.6
2016-07-26 19:49:40.184667,ch_kite_0004,8.0,79.0,97775.8,0.0,464.6,13363.4
2016-07-26 19:50:09.313373,ch_kite_0001,8.0,79.0,97642.8,14.0,430.6,13397.4
2016-07-26 19:50:24.911944,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:50:53.220662,ch_kite_0003,8.0,75.2,97842.4,0.0,449.8,13468.8
2016-07-26 19:51:22.030623,ch_kite_0004,8.0,79.0,97767.8,0.0,459.8,13485.8
2016-07-26 19:51:51.059495,ch_kite_0001,8.0,79.0,97643.6,14.0,423.6,13376.0
2016-07-26 19:52:05.620604,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:52:35.344384,ch_kite_0003,8.0,74.6,97845.2,0.0,450.0,13459.2
2016-07-26 19:53:04.736132,ch_kite_0004,8.0,78.8,97765.8,0.0,454.2,13361.6
2016-07-26 19:53:33.082872,ch_kite_0001,8.0,79.0,97638.0,14.0,428.2,13426.2
2016-07-26 19:53:48.980450,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:54:17.463961,ch_kite_0003,8.0,75.0,97840.8,0.0,451.0,13473.2
2016-07-26 19:54:46.362129,ch_kite_0004,8.0,79.0,97756.2,0.0,459.0,13319.0
2016-07-26 19:55:15.351545,ch_kite_0001,8.0,79.6,97638.4,14.0,418.0,13380.2
2016-07-26 19:55:29.399366,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:55:58.390485,ch_kite_0003,8.0,75.0,97836.0,0.0,450.2,13498.6
2016-07-26 19:56:26.645982,ch_kite_0004,7.6,79.2,97752.6,0.0,462.2,13398.4
2016-07-26 19:56:55.808480,ch_kite_0001,8.0,80.0,97635.2,14.0,429.0,13408.6
2016-07-26 19:57:11.462599,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:57:39.156274,ch_kite_0003,8.0,75.6,97831.8,0.0,453.6,13460.8
2016-07-26 19:58:07.342282,ch_kite_0004,7.6,79.4,97749.8,0.0,462.0,13389.6
2016-07-26 19:58:36.161024,ch_kite_0001,8.0,80.0,97632.4,14.0,423.4,13391.0
2016-07-26 19:58:51.651674,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 19:59:22.099365,ch_kite_0003,8.0,75.6,97818.6,0.0,452.4,13464.6
2016-07-26 19:59:51.770739,ch_kite_0004,7.0,78.8,97744.2,0.0,458.0,13424.8
2016-07-26 20:00:21.717750,ch_kite_0001,8.0,80.0,97632.8,14.0,430.4,13468.6
2016-07-26 20:00:36.177496,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:01:05.695241,ch_kite_0003,7.6,75.6,97821.8,0.0,448.8,13403.4
2016-07-26 20:01:34.526974,ch_kite_0004,7.0,79.2,97739.4,0.0,467.4,13374.8
2016-07-26 20:02:03.637646,ch_kite_0001,8.0,80.0,97630.0,14.0,421.6,13412.6
2016-07-26 20:02:18.846140,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:02:47.154105,ch_kite_0003,7.4,75.6,97817.4,0.0,449.4,13454.0
2016-07-26 20:03:16.833352,ch_kite_0004,7.0,79.4,97741.4,0.0,464.2,13323.8
2016-07-26 20:03:46.841945,ch_kite_0001,8.0,80.0,97630.8,14.0,428.6,13426.6
2016-07-26 20:04:02.330617,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:04:32.361077,ch_kite_0003,7.0,75.6,97815.8,0.0,452.0,13431.6
2016-07-26 20:05:02.499181,ch_kite_0004,7.0,79.6,97726.6,0.0,459.6,13346.2
2016-07-26 20:05:32.585849,ch_kite_0001,8.0,80.0,97622.8,14.0,435.4,13456.8
2016-07-26 20:05:48.086544,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
