ParkingZoneID,drvParkingSpaces,Configuration,RestrictedByUse,RestrictedByUseCode,RestrictedByDurationCode,RestrictedByDurationDescription,RestrictedByDuration,Revenue,RestrictedByTimeOfDay,ParkingDailyRate,ParkingHourlyRate,MeterHoursOfOperation,ObservationDate
6101,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,20:29.0
6102,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,17:14.0
6103,NULL,Parallel,No restriction,None,P120,120 minutes maximum,120,Not metered,Not restricted,NULL,NULL,NULL,13:38.0
5560,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,56:02.0
5562,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,11:49.5
5563,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,11:49.0
5564,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,11:49.0
5565,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,11:49.0
5566,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,45:52.0
5567,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5568,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,45:52.0
5569,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5570,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,45:52.0
5571,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5575,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5576,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,45:52.0
5577,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5905,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5906,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5907,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5909,NULL,Parallel,No restriction,None,P120,120 minutes maximum,120,Metered,Not restricted,Not applicable,$3.10,Mon-Sun 9am-6pm,00:00.0
5910,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,25:48.0
5911,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,00:00.0
5912,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5916,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5918,NULL,Not applicable,Kerb build out,K,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,18:30.7
5919,NULL,Perpendicular,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,00:00.0
5709,NULL,Not applicable,Kerb build out,K,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,08:21.0
5710,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,27:16.0
5713,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,04:21.0
5714,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,04:21.0
5715,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5716,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,38:18.0
5719,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5579,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,26:53.2
5720,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5721,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5920,NULL,Perpendicular,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,00:00.0
5921,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5922,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,37:12.0
5925,NULL,Parallel,No restriction,None,P5,5 minutes maximum,5,Not metered,Other,NULL,NULL,NULL,00:00.0
5926,NULL,Parallel,No restriction,None,P5,5 minutes maximum,5,Not metered,Other,NULL,NULL,NULL,00:00.0
5946,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5948,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,04:07.0
5950,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not applicable,NULL,NULL,NULL,01:21.5
5955,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,08:08.6
5957,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5603,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5604,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5605,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5606,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5607,NULL,Parallel,Loading bay,L,P5,5 minutes maximum,5,Not metered,Other,NULL,NULL,NULL,00:00.0
5609,NULL,Parallel,Loading bay,L,P5,5 minutes maximum,5,Not metered,Other,NULL,NULL,NULL,48:59.5
5610,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,13:47.0
5785,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,03:10.0
5786,NULL,Not applicable,Short kerb,SK,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,01:40.0
