tempParkAssetID,Feature,Use,ExternalBuildingMaterial,InternalBuildingMaterial,RoofMaterial,BuildingAreaM2,NumberOfCubicles,NumberOfAccessibleUnits,Comment
72615,Building - Toilet/Pavilion: Toilet,Separate Male/Female,Brick,Not Applicable,Not Known,35,5,2,
3970,Building - Toilet/Pavilion: Toilet,Unisex,Corrugated Iron,Not Applicable,Not Known,1.8,1,0,
76083,Building - Toilet/Pavilion: Toilet,,,,,,,,
76084,Building - Toilet/Pavilion: Toilet,,,,,,,,
76085,Building - Toilet/Pavilion: Toilet,,,,,,,,
76086,Building - Toilet/Pavilion: Toilet,,,,,,,,
76087,Building - Toilet/Pavilion: Toilet,,,,,,,,
76088,Building - Toilet/Pavilion: Toilet,,,,,,,,
76090,Building - Toilet/Pavilion: Toilet,,Standard Weatherboard,,,400,,,old railway station
76091,Building - Toilet/Pavilion: Toilet,,,,,,,,
76092,Building - Toilet/Pavilion: Toilet,,,,,,,,
76093,Building - Toilet/Pavilion: Toilet,,,,,,,,
76094,Building - Toilet/Pavilion: Toilet,,,,,,,,
76095,Building - Toilet/Pavilion: Toilet,,,,,,,,
76096,Building - Toilet/Pavilion: Toilet,,,,,,,,
76097,Building - Toilet/Pavilion: Toilet,,,,,,,,
76171,Building - Toilet/Pavilion: Toilet,,,,,,,,Shelter/Toilets (opposite Ayr Street)
76175,Building - Toilet/Pavilion: Change Room/Toilet,,,,,,,,Lake Albert toilet bloack
76277,Building - Toilet/Pavilion: Change Room/Toilet,,,,,,,,
77404,Building - Toilet/Pavilion: Pavilion &Toilet,,,,,,,,East Shirley Cricket Club/Burwood Football Assn
77434,Building - Toilet/Pavilion: Toilet,,,,,,,,
78080,Building - Toilet/Pavilion: Change Room/Toilet,,,,,,,,
78236,Building - Toilet/Pavilion: Toilet,,,,,,,,
78238,Building - Toilet/Pavilion: Toilet,,,,,35.5,,,
83887,Building - Toilet/Pavilion: Pavilion,,,,,,,,
83896,Building - Toilet/Pavilion: Toilet,,,,,,,,
83909,Building - Toilet/Pavilion: Pavilion,,,,,,,,
83968,Building - Toilet/Pavilion: Toilet,,,,,,,,
83997,Building - Toilet/Pavilion: Toilet,,,,,,,,
84003,Building - Toilet/Pavilion: Pavilion,,,,,,,,
84057,Building - Toilet/Pavilion: Toilet,,,,,,,,
84067,Building - Toilet/Pavilion: Toilet,,,,,,,,
84645,Building - Toilet/Pavilion: Toilet,,,,,,,,
85181,Building - Toilet/Pavilion: Toilet,,,,,,,,
86100,Building - Toilet/Pavilion: Toilet,,,,,,,,
87898,Building - Toilet/Pavilion: Toilet,,,,,,,,
87901,Building - Toilet/Pavilion: Toilet,,,,,,,,
87965,Building - Toilet/Pavilion: Toilet,,,,,,,,
88009,Building - Toilet/Pavilion: Toilet,,,,,,,,
88046,Building - Toilet/Pavilion: Toilet,,,,,,,,
88076,Building - Toilet/Pavilion: Toilet,,,,,,,,
88200,Building - Toilet/Pavilion: Toilet,,,,,,,,
88698,Building - Toilet/Pavilion: Toilet,,,,,,,,
88816,Building - Toilet/Pavilion: Toilet,,,,,,,,
89319,Building - Toilet/Pavilion: Toilet,,,,,,,,
89366,Building - Toilet/Pavilion: Toilet,,,,,,,,
90032,Building - Toilet/Pavilion: Toilet,,,,,,,,
91126,Building - Toilet/Pavilion: Toilet,,,,,,,,
91608,Building - Toilet/Pavilion: Toilet,,,,,,,,
92753,Building - Toilet/Pavilion: Toilet,,,,,,,,
93847,Building - Toilet/Pavilion: Toilet,,,,,,,,
93955,Building - Toilet/Pavilion: Pavilion,,,,,,,,
94065,Building - Toilet/Pavilion: Toilet,,,,,,,,
94167,Building - Toilet/Pavilion: Toilet,,,,,,,,
94193,Building - Toilet/Pavilion: Pavilion,,,,,,,,
95857,Building - Toilet/Pavilion: Toilet,,,,,,,,
96647,Building - Toilet/Pavilion: Changing Room,,,,,,,,
96686,Building - Toilet/Pavilion: Changing Room,,,,,,,,
96966,Building - Toilet/Pavilion: Pavilion,,,,,,,,Community Gardens Pavilion  
96968,Building - Toilet/Pavilion: Toilet,,,,,,,,Sumner Beach Temporary Toilets
