Incident ID, Reported on, Incident type, Address
134572,14/04/2016 at 19:37,Roading/Streets,"Lightbody Ln, Wigram, Christchurch 8042, New Zealand"
134573,14/04/2016 at 19:43,Roading/Streets,"Christchurch, Canterbury"
134574,14/04/2016 at 20:02,Roading/Streets,"290, Halswell Junction Road, Halswell, 8025, Canterbury"
134584,14/04/2016 at 21:11,Roading/Streets,"141, Ensors Road, Waltham, 8023, Canterbury"
134590,14/04/2016 at 21:44,Rubbish/Recycling,"32A Winchester St, Merivale, Christchurch 8014, New Zealand"
134595,14/04/2016 at 22:07,Graffiti,"18 Kauri St, Riccarton, Christchurch 8041, New Zealand"
134611,14/04/2016 at 22:54,Parks,"4, Janal Place, Northwood, 8051, Canterbury"
134613,14/04/2016 at 22:57,Parks,"4, Janal Place, Northwood, 8051, Canterbury"
134615,14/04/2016 at 22:58,Graffiti,"Barbadoes Street, Christchurch, 8011, Canterbury"
134617,14/04/2016 at 23:01,Graffiti,"Barbadoes Street, Christchurch, 8013, Canterbury"
134620,14/04/2016 at 23:03,Graffiti,"Cambridge Terrace, Christchurch, 8013, Canterbury"
134621,14/04/2016 at 23:03,Parks,"54 Buchan St, Sydenham, Christchurch 8023, New Zealand"
134622,14/04/2016 at 23:05,Graffiti,"379–385, Barbadoes Street, Christchurch, 8013, Canterbury"
134624,14/04/2016 at 23:08,Graffiti,"2, Louisson Place, Hillsborough, 8022, Canterbury"
134626,14/04/2016 at 23:12,Graffiti,"393, Barbadoes Street, Christchurch, 8013, Canterbury"
134628,14/04/2016 at 23:15,Graffiti,"392, Barbadoes Street, Christchurch, 8013, Canterbury"
134629,14/04/2016 at 23:18,Graffiti,"398, Barbadoes Street, Christchurch, 8013, Canterbury"
134634,14/04/2016 at 23:29,Graffiti,"Bealey Avenue, Christchurch, 8013, Canterbury"
134636,14/04/2016 at 23:30,Graffiti,
134637,14/04/2016 at 23:30,Graffiti,
134638,14/04/2016 at 23:30,Graffiti,
134640,14/04/2016 at 23:31,Graffiti,
134641,14/04/2016 at 23:33,Rubbish/Recycling,"5-7 Colligan St, Upper Riccarton, Christchurch 8041, New Zealand"
134642,14/04/2016 at 23:34,Graffiti,"48 Hereford St, Christchurch Central, Christchurch 8013, New Zealand"
134643,14/04/2016 at 23:35,Graffiti,"9/440, Barbadoes Street, Edgeware, 8013, Canterbury"
134645,14/04/2016 at 23:36,Graffiti,"6/440, Barbadoes Street, Edgeware, 8013, Canterbury"
134646,14/04/2016 at 23:37,Rubbish/Recycling,"1/450, Barbadoes Street, Edgeware, 8013, Canterbury"
134650,14/04/2016 at 23:39,Graffiti,"1/450, Barbadoes Street, Edgeware, 8013, Canterbury"
134651,14/04/2016 at 23:40,Graffiti,"456, Barbadoes Street, Edgeware, 8013, Canterbury"
134652,14/04/2016 at 23:42,Graffiti,"464, Barbadoes Street, Edgeware, 8013, Canterbury"
134655,14/04/2016 at 23:43,Graffiti,"464, Barbadoes Street, Edgeware, 8013, Canterbury"
134657,14/04/2016 at 23:45,Graffiti,"130, Purchas Street, Edgeware, 8013, Canterbury"
134659,14/04/2016 at 23:46,Graffiti,"130, Purchas Street, Edgeware, 8013, Canterbury"
134660,14/04/2016 at 23:51,Graffiti,"145, Purchas Street, Edgeware, 8013, Canterbury"
134661,14/04/2016 at 23:55,Graffiti,"145, Purchas Street, Edgeware, 8013, Canterbury"
134662,14/04/2016 at 23:57,Graffiti,"145, Purchas Street, Edgeware, 8013, Canterbury"
134663,14/04/2016 at 23:59,Graffiti,"465, Barbadoes Street, Edgeware, 8013, Canterbury"
134665,15/04/2016 at 00:02,Graffiti,"465, Barbadoes Street, Edgeware, 8013, Canterbury"
134667,15/04/2016 at 00:04,Graffiti,"2/455, Barbadoes Street, Edgeware, 8013, Canterbury"
134668,15/04/2016 at 00:05,Graffiti,"2/455, Barbadoes Street, Edgeware, 8013, Canterbury"
