tempParkAssetID,FeatureCategory,TableSurfaceFinish,tableConstructionMethod,Comment
35144,Furniture - Table,Stained - Clear,Wood with Metal Frame,
35147,Furniture - Table,Stained - Clear,Wood with Metal Frame,
35781,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
36323,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
36825,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
37220,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
37260,Furniture - Table,Painted,Wood with Wooden Frame,
37261,Furniture - Table,Natural,Wood with Wooden Frame,
37484,Furniture - Table,Natural,Wood with Wooden Frame,
37518,Furniture - Table,Natural,Wood with Wooden Frame,
37526,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
37593,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
37614,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
38060,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
38066,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
38904,Furniture - Table,Natural,Wood with Wooden Frame,
38918,Furniture - Table,Painted,Wood with Wooden Frame,
39843,Furniture - Table,Stained - Dark,Wood with Wooden Frame,graffiti...see 4892
39874,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
40712,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
40864,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
40866,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
41012,Furniture - Table,Painted,Wood with Wooden Frame,
41287,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
41289,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
42681,Furniture - Table,Natural,Concrete,
43032,Furniture - Table,Natural,Wood with Wooden Frame,
43034,Furniture - Table,Powder Coated/Baked Enamel,Wood with Wooden Frame,
43223,Furniture - Table,Natural,Wood with Wooden Frame,
43479,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
43524,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
43773,Furniture - Table,Natural,Wood with Wooden Frame,
43790,Furniture - Table,Natural,Wood with Wooden Frame,
43910,Furniture - Table,Natural,Wood with Metal Frame,
43914,Furniture - Table,Natural,Wood with Wooden Frame,
44017,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
44137,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
44341,Furniture - Table,Natural,Wood with Metal Frame,
44571,Furniture - Table,Painted,Wood with Wooden Frame,
44578,Furniture - Table,Painted,Wood with Wooden Frame,
44591,Furniture - Table,Painted,Wood with Wooden Frame,
44638,Furniture - Table,Painted,Wood with Wooden Frame,
44703,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
44820,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
44940,Furniture - Table,Painted,Wood with Wooden Frame,
45249,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
45253,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
45851,Furniture - Table,Natural,Wood with Wooden Frame,
46730,Furniture - Table,Painted,Wood with Wooden Frame,
46762,Furniture - Table,Natural,Wood with Wooden Frame,
46916,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
46925,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
47000,Furniture - Table,Natural,Wood with Wooden Frame,
47543,Furniture - Table,Stained - Dark,Wood with Metal Frame,
47694,Furniture - Table,Painted,Wood with Wooden Frame,
47702,Furniture - Table,Painted,Wood with Wooden Frame,
47974,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
48038,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
48062,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
48073,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
48080,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
48502,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
48534,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
